id	GENE_ID	GO_PRO
NMD3A	GRIN3A	endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; integral component of postsynaptic density membrane [GO:0099061]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; synapse [GO:0045202]; calcium channel activity [GO:0005262]; glycine binding [GO:0016594]; identical protein binding [GO:0042802]; ligand-gated ion channel activity [GO:0015276]; neurotransmitter binding [GO:0042165]; NMDA glutamate receptor activity [GO:0004972]; protein phosphatase 2A binding [GO:0051721]; signaling receptor activity [GO:0038023]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; calcium ion transport [GO:0006816]; dendrite development [GO:0016358]; ionotropic glutamate receptor signaling pathway [GO:0035235]; negative regulation of dendritic spine development [GO:0061000]; prepulse inhibition [GO:0060134]; regulation of synaptic vesicle exocytosis [GO:2000300]; response to ethanol [GO:0045471]; rhythmic process [GO:0048511]
NMDE4	GRIN2D	endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic density membrane [GO:0099061]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; glutamate binding [GO:0016595]; glutamate-gated calcium ion channel activity [GO:0022849]; ionotropic glutamate receptor activity [GO:0004970]; ligand-gated ion channel activity [GO:0015276]; neurotransmitter binding [GO:0042165]; NMDA glutamate receptor activity [GO:0004972]; signaling receptor activity [GO:0038023]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; adult locomotory behavior [GO:0008344]; brain development [GO:0007420]; calcium ion transmembrane import into cytosol [GO:0097553]; excitatory chemical synaptic transmission [GO:0098976]; excitatory postsynaptic potential [GO:0060079]; long-term synaptic potentiation [GO:0060291]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; regulation of cation transmembrane transport [GO:1904062]; regulation of sensory perception of pain [GO:0051930]; regulation of synaptic plasticity [GO:0048167]; startle response [GO:0001964]; synaptic transmission, glutamatergic [GO:0035249]
TRPM8	TRPM8	endoplasmic reticulum membrane [GO:0005789]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; calcium channel activity [GO:0005262]; cation channel activity [GO:0005261]; identical protein binding [GO:0042802]; ligand-gated calcium channel activity [GO:0099604]; calcium ion transmembrane transport [GO:0070588]; cation transmembrane transport [GO:0098655]; cellular calcium ion homeostasis [GO:0006874]; detection of temperature stimulus [GO:0016048]; positive regulation of cold-induced thermogenesis [GO:0120162]; response to cold [GO:0009409]; thermoception [GO:0050955]
CP3A7	CYP3A7	endoplasmic reticulum membrane [GO:0005789]; all-trans retinoic acid 18-hydroxylase activity [GO:0062183]; aromatase activity [GO:0070330]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; estrogen 2-hydroxylase activity [GO:0101021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxygen binding [GO:0019825]; retinoic acid 4-hydroxylase activity [GO:0008401]; steroid hydroxylase activity [GO:0008395]; testosterone 6-beta-hydroxylase activity [GO:0050649]; estrogen metabolic process [GO:0008210]; lipid hydroxylation [GO:0002933]; oxidative demethylation [GO:0070989]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; steroid biosynthetic process [GO:0006694]; steroid metabolic process [GO:0008202]; xenobiotic metabolic process [GO:0006805]
CP21A	CYP21A2	endoplasmic reticulum membrane [GO:0005789]; 17-hydroxyprogesterone 21-hydroxylase activity [GO:0103069]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; progesterone 21-hydroxylase activity [GO:0106309]; steroid 21-monooxygenase activity [GO:0004509]; steroid binding [GO:0005496]; steroid hydroxylase activity [GO:0008395]; glucocorticoid biosynthetic process [GO:0006704]; mineralocorticoid biosynthetic process [GO:0006705]; steroid biosynthetic process [GO:0006694]; steroid metabolic process [GO:0008202]; sterol metabolic process [GO:0016125]
FA10	F10	endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; intrinsic component of external side of plasma membrane [GO:0031233]; plasma membrane [GO:0005886]; serine-type endopeptidase complex [GO:1905370]; calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; serine-type endopeptidase activity [GO:0004252]; blood coagulation [GO:0007596]; positive regulation of cell migration [GO:0030335]; positive regulation of protein kinase B signaling [GO:0051897]; proteolysis [GO:0006508]; zymogen activation [GO:0031638]
GANAB	GANAB	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; glucosidase II complex [GO:0017177]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; membrane [GO:0016020]; alpha-glucosidase activity [GO:0090599]; carbohydrate binding [GO:0030246]; glucan 1,3-alpha-glucosidase activity [GO:0033919]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; RNA binding [GO:0003723]; carbohydrate metabolic process [GO:0005975]; N-glycan processing [GO:0006491]
BKRB1	BDKRB1	endoplasmic reticulum [GO:0005783]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; bradykinin receptor activity [GO:0004947]; G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; cell migration [GO:0016477]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; negative regulation of blood pressure [GO:0045776]; negative regulation of cell growth [GO:0030308]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of leukocyte migration [GO:0002687]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; sensory perception of pain [GO:0019233]
T2R16	TAS2R16	endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; bitter taste receptor activity [GO:0033038]; G protein-coupled receptor activity [GO:0004930]; detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; G protein-coupled receptor signaling pathway [GO:0007186]
VKOR1	VKORC1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; quinone binding [GO:0048038]; vitamin-K-epoxide reductase (warfarin-insensitive) activity [GO:0047058]; vitamin-K-epoxide reductase (warfarin-sensitive) activity [GO:0047057]; blood coagulation [GO:0007596]; bone development [GO:0060348]; peptidyl-glutamic acid carboxylation [GO:0017187]; regulation of blood coagulation [GO:0030193]; response to antibiotic [GO:0046677]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; vitamin K metabolic process [GO:0042373]; xenobiotic metabolic process [GO:0006805]
HMDH	HMGCR	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]; coenzyme A binding [GO:0120225]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; NADPH binding [GO:0070402]; cholesterol biosynthetic process [GO:0006695]; coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]; negative regulation of amyloid-beta clearance [GO:1900222]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein secretion [GO:0050709]; sterol biosynthetic process [GO:0016126]; visual learning [GO:0008542]
CP51A	CYP51A1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; sterol 14-demethylase activity [GO:0008398]; cholesterol biosynthetic process [GO:0006695]; negative regulation of amyloid-beta clearance [GO:1900222]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein secretion [GO:0050709]; steroid biosynthetic process [GO:0006694]; sterol metabolic process [GO:0016125]
SOAT1	SOAT1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; cholesterol binding [GO:0015485]; cholesterol O-acyltransferase activity [GO:0034736]; fatty-acyl-CoA binding [GO:0000062]; identical protein binding [GO:0042802]; O-acyltransferase activity [GO:0008374]; sterol O-acyltransferase activity [GO:0004772]; cholesterol efflux [GO:0033344]; cholesterol esterification [GO:0034435]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol storage [GO:0010878]; low-density lipoprotein particle clearance [GO:0034383]; macrophage derived foam cell differentiation [GO:0010742]; positive regulation of amyloid precursor protein biosynthetic process [GO:0042986]; very-low-density lipoprotein particle assembly [GO:0034379]
CP19A	CYP19A1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; aromatase activity [GO:0070330]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; oxygen binding [GO:0019825]; steroid hydroxylase activity [GO:0008395]; androgen catabolic process [GO:0006710]; estrogen biosynthetic process [GO:0006703]; female genitalia development [GO:0030540]; female gonad development [GO:0008585]; mammary gland development [GO:0030879]; negative regulation of chronic inflammatory response [GO:0002677]; negative regulation of macrophage chemotaxis [GO:0010760]; positive regulation of estradiol secretion [GO:2000866]; prostate gland growth [GO:0060736]; response to estradiol [GO:0032355]; steroid biosynthetic process [GO:0006694]; sterol metabolic process [GO:0016125]; syncytium formation [GO:0006949]; testosterone biosynthetic process [GO:0061370]; uterus development [GO:0060065]
LTC4S	LTC4S	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear outer membrane [GO:0005640]; enzyme activator activity [GO:0008047]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; leukotriene-C4 synthase activity [GO:0004464]; lipid binding [GO:0008289]; leukotriene biosynthetic process [GO:0019370]; leukotriene metabolic process [GO:0006691]; long-chain fatty acid biosynthetic process [GO:0042759]
ERG1	SQLE	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; FAD binding [GO:0071949]; squalene monooxygenase activity [GO:0004506]; cellular aromatic compound metabolic process [GO:0006725]; cholesterol metabolic process [GO:0008203]; lipid droplet formation [GO:0140042]; regulation of cell population proliferation [GO:0042127]; response to organic substance [GO:0010033]; sterol biosynthetic process [GO:0016126]
PORED	SRD5A3	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; 3-oxo-5-alpha-steroid 4-dehydrogenase activity [GO:0003865]; cholestenone 5-alpha-reductase activity [GO:0047751]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; polyprenol reductase activity [GO:0102389]; androgen biosynthetic process [GO:0006702]; dolichol biosynthetic process [GO:0019408]; dolichol metabolic process [GO:0019348]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; dolichyl diphosphate biosynthetic process [GO:0006489]; polyprenol catabolic process [GO:0016095]
